TableName,Weight,WeightSum,WeightPercent,ObjectName,DisplayName,LootSource
DA_ExampleSpawner,100.0,100.0,100.0000,BP_Dreg_Parent_C,Dreg,Hunger_Dreg
DA_AISpawner_Workers,65.0,157.5,41.2698,Nothing,,
DA_AISpawner_Workers,40.0,157.5,25.3968,BP_Dreg_Peasant_02a_C,Dreg,Hunger_Dreg
DA_AISpawner_Workers,15.0,157.5,9.5238,BP_Dreg_Peasant_01a_C,Dreg,Hunger_Dreg
DA_AISpawner_Workers,7.5,157.5,4.7619,BP_Bloat_Parent_C,Bloat,Hunger_Bloat
DA_AISpawner_Workers,5.0,157.5,3.1746,BP_Waif_Peasant_01b_C,Waif,Hunger_Waif
DA_AISpawner_Workers,5.0,157.5,3.1746,BP_Waif_Peasant_01a_C,Waif,Hunger_Waif
DA_AISpawner_Workers,5.0,157.5,3.1746,BP_Waif_Noble_01a_C,Waif,Hunger_Waif
DA_AISpawner_Workers,5.0,157.5,3.1746,BP_Shambler_03a_C,Shambler,Hunger_Shambler
DA_AISpawner_Workers,5.0,157.5,3.1746,BP_Shambler_02a_C,Shambler,Hunger_Shambler
DA_AISpawner_Workers,5.0,157.5,3.1746,BP_Shambler_01a_C,Shambler,Hunger_Shambler
DA_AISpawner_Waifs,25.0,100.0,25.0000,Nothing,,
DA_AISpawner_Waifs,25.0,100.0,25.0000,BP_Waif_Peasant_01b_C,Waif,Hunger_Waif
DA_AISpawner_Waifs,25.0,100.0,25.0000,BP_Waif_Peasant_01a_C,Waif,Hunger_Waif
DA_AISpawner_Waifs,25.0,100.0,25.0000,BP_Waif_Noble_01a_C,Waif,Hunger_Waif
DA_AISpawner_Waifs,0.0,100.0,0.0000,BP_Shambler_03a_C,Shambler,Hunger_Shambler
DA_AISpawner_Waifs,0.0,100.0,0.0000,BP_Shambler_02a_C,Shambler,Hunger_Shambler
DA_AISpawner_Waifs,0.0,100.0,0.0000,BP_Shambler_01a_C,Shambler,Hunger_Shambler
DA_AISpawner_Waifs,0.0,100.0,0.0000,BP_Dreg_Peasant_02a_C,Dreg,Hunger_Dreg
DA_AISpawner_Waifs,0.0,100.0,0.0000,BP_Dreg_Peasant_01a_C,Dreg,Hunger_Dreg
DA_AISpawner_Waifs,0.0,100.0,0.0000,BP_Bloat_Parent_C,Bloat,Hunger_Bloat
DA_AISpawner_Voltigeur,60.0,120.0,50.0000,Nothing,,
DA_AISpawner_Voltigeur,42.0,120.0,35.0000,BP_Dreg_Voltigeur_01a_C,Dreg,Hunger_Dreg
DA_AISpawner_Voltigeur,9.0,120.0,7.5000,BP_Bloat_Parent_C,Bloat,Hunger_Bloat
DA_AISpawner_Voltigeur,3.0,120.0,2.5000,BP_Shambler_03a_C,Shambler,Hunger_Shambler
DA_AISpawner_Voltigeur,3.0,120.0,2.5000,BP_Shambler_02a_C,Shambler,Hunger_Shambler
DA_AISpawner_Voltigeur,3.0,120.0,2.5000,BP_Shambler_01a_C,Shambler,Hunger_Shambler
DA_AISpawner_Undercroft01,60.0,130.0,46.1538,Nothing,,
DA_AISpawner_Undercroft01,20.0,130.0,15.3846,BP_Dreg_Peasant_02a_C,Dreg,Hunger_Dreg
DA_AISpawner_Undercroft01,20.0,130.0,15.3846,BP_Dreg_Peasant_01a_C,Dreg,Hunger_Dreg
DA_AISpawner_Undercroft01,15.0,130.0,11.5385,BP_Bloat_Parent_C,Bloat,Hunger_Bloat
DA_AISpawner_Undercroft01,5.0,130.0,3.8462,BP_Shambler_03a_C,Shambler,Hunger_Shambler
DA_AISpawner_Undercroft01,5.0,130.0,3.8462,BP_Shambler_02a_C,Shambler,Hunger_Shambler
