SourceName,MinEntries,MaxEntries,LootTable,TableName,Weight,WeightSum,WeightPercent,AlwaysSpawn
Workbench_Small,1,2,Workbench,LIT_Workbench,200.0,331.1500000022352,60.3956,False
Workbench_Small,1,2,Workbench,LIT_Tools_Uncommon,25.0,331.1500000022352,7.5494,False
Workbench_Small,1,2,Workbench,LIT_Tools_Rare,5.0,331.1500000022352,1.5099,False
Workbench_Small,1,2,Workbench,LIT_Tools_Legendary,0.1,331.1500000022352,0.0302,False
Workbench_Small,1,2,Workbench,LIT_Tools_Epic,1.0,331.1500000022352,0.302,False
Workbench_Small,1,2,Workbench,LIT_Tools_Common,100.0,331.1500000022352,30.1978,False
Workbench_Small,1,2,Workbench,LIT_Recipes_ToolsAll,0.05,331.1500000022352,0.0151,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Uncommon_Weap_Rifles,18.75,54.42500000447035,34.4511,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Uncommon_Weap_Pistols,25.0,54.42500000447035,45.9348,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Rare_Weap_Rifles,3.75,54.42500000447035,6.8902,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Rare_Weap_Pistols,5.0,54.42500000447035,9.187,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Legendary_Weap_Rifles,0.075,54.42500000447035,0.1378,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Legendary_Weap_Pistols,0.1,54.42500000447035,0.1837,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Epic_Weap_Rifles,0.75,54.42500000447035,1.378,False
Weapon_Ranged_REL,1,1,Weapon_Ranged_REL,LIT_Epic_Weap_Pistols,1.0,54.42500000447035,1.8374,False
Weapon_Ranged,1,1,Weapon_Ranged,LIT_Rifles_All,75.0,175.0,42.8571,False
Weapon_Ranged,1,1,Weapon_Ranged,LIT_Pistols_All,100.0,175.0,57.1429,False
Weapon_Ranged,1,1,Weapon_Ranged,LIT_Launchers_All,0,175.0,0.0,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_2HMelee_Uncommon,18.75,54.42500000447035,34.4511,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_2HMelee_Rare,3.75,54.42500000447035,6.8902,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_2HMelee_Legendary,0.075,54.42500000447035,0.1378,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_2HMelee_Epic,0.75,54.42500000447035,1.378,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_1HMelee_Uncommon,25.0,54.42500000447035,45.9348,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_1HMelee_Rare,5.0,54.42500000447035,9.187,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_1HMelee_Legendary,0.1,54.42500000447035,0.1837,False
Weapon_Melee_REL,1,1,Weapon_Melee_REL,LIT_1HMelee_Epic,1.0,54.42500000447035,1.8374,False
Weapon_Melee,1,1,Weapon_Melee,LIT_2HMelee_All,75.0,175.0,42.8571,False
Weapon_Melee,1,1,Weapon_Melee,LIT_1HMelee_All,100.0,175.0,57.1429,False
Weapon,1,1,Weapon,LIT_Rifles_All,75.0,350.0,21.4286,False
Weapon,1,1,Weapon,LIT_Pistols_All,100.0,350.0,28.5714,False
Weapon,1,1,Weapon,LIT_2HMelee_All,75.0,350.0,21.4286,False
Weapon,1,1,Weapon,LIT_1HMelee_All,100.0,350.0,28.5714,False
ValuablesBox,1,2,ValuablesBox,LIT_ValuablesBox_01a,89.0,100.00000041909516,89.0,False
ValuablesBox,1,2,ValuablesBox,LIT_Recipes_MedsAll,0.06,100.00000041909516,0.06,False
ValuablesBox,1,2,ValuablesBox,LIT_OpiumBox,9.81,100.00000041909516,9.81,False
ValuablesBox,1,2,ValuablesBox,LIT_GlobalItems_05_Legendary,0.1,100.00000041909516,0.1,False
ValuablesBox,1,2,ValuablesBox,LIT_GlobalItems_04_Epic,1.0,100.00000041909516,1.0,False
ValuablesBox,1,2,ValuablesBox,LIT_Cosmetics_All,0.03,100.00000041909516,0.03,False
ToolingBin,2,4,ToolingBin,LIT_Tools_Uncommon,25.0,331.1000000014901,7.5506,False
ToolingBin,2,4,ToolingBin,LIT_Tools_Rare,5.0,331.1000000014901,1.5101,False
ToolingBin,2,4,ToolingBin,LIT_Tools_Legendary,0.1,331.1000000014901,0.0302,False
ToolingBin,2,4,ToolingBin,LIT_Tools_Epic,1.0,331.1000000014901,0.302,False
ToolingBin,2,4,ToolingBin,LIT_Tools_Common,100.0,331.1000000014901,30.2024,False
ToolingBin,2,4,ToolingBin,LIT_ToolingBin,200.0,331.1000000014901,60.4047,False
TinkerCase,2,4,TinkerCase,LIT_Crafting_Artificer_TinkerCase,98.0,100.0,98.0,False
TinkerCase,2,4,TinkerCase,LIT_Crafting_Artificer,2.0,100.0,2.0,False
TEST,1,3,TEST,LIT_TEST,100.0,100.0,100.0,False
Stove,1,2,Stove,LIT_Stove,100.0,103.1110000013141,96.9829,False
Stove,1,2,Stove,LIT_GlobalItems_05_Legendary,0.001,103.1110000013141,0.001,False
Stove,1,2,Stove,LIT_GlobalItems_04_Epic,0.01,103.1110000013141,0.0097,False
Stove,1,2,Stove,LIT_GlobalItems_03_Rare,0.1,103.1110000013141,0.097,False
Stove,1,2,Stove,LIT_GlobalItems_02_Uncommon,1.0,103.1110000013141,0.9698,False
Stove,1,2,Stove,LIT_GlobalItems_01_Common,2.0,103.1110000013141,1.9397,False
SlopBin,2,4,SlopBin,LIT_Crafting_Cook_SlopBin,98.0,100.0,98.0,False
SlopBin,2,4,SlopBin,LIT_Crafting_Cook,2.0,100.0,2.0,False
Shop_Med_A01,1,2,Global,LIT_RecipesLootable_All,0.04,131.160000000149,0.0305,False
Shop_Med_A01,1,2,Global,LIT_GlobalItems_05_Legendary,0.1,131.160000000149,0.0762,False
Shop_Med_A01,1,2,Global,LIT_GlobalItems_04_Epic,1.0,131.160000000149,0.7624,False
Shop_Med_A01,1,2,Global,LIT_GlobalItems_03_Rare,5.0,131.160000000149,3.8121,False
Shop_Med_A01,1,2,Global,LIT_GlobalItems_02_Uncommon,25.0,131.160000000149,19.0607,False
Shop_Med_A01,1,2,Global,LIT_GlobalItems_01_Common,100.0,131.160000000149,76.2428,False
Shop_Med_A01,1,2,Global,LIT_Cosmetics_All,0.02,131.160000000149,0.0152,False
Saddlebag,1,2,Saddlebag,LIT_RecipesLootable_All,0.5,80.05000019073486,0.6246,False
