Type,ObjectName,StaticMeshName,X,Y,Z,SpawnChance
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9008.077,5654.1313,6105.8086,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9159.043,5837.3125,6075.9736,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9212.297,5755.7803,6154.641,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9243.684,5802.5513,6145.201,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9290.705,5934.1885,6108.9067,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9300.602,5975.1816,6262.314,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9422.185,5867.9497,6136.412,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9447.72,5818.74,6163.7456,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9494.597,5276.685,7393.168,
InstancedStaticMeshComponent,BPP_AlnusRock_Autumn_01a_C'Chateau_p_WP:PersistentLevel.BPP_AlnusRock_Autumn_01a_C_ee132c0060ec3d47_0',,9534.062,5756.0996,6114.9995,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-1084.6118,1699.4803,11390.579,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-836.4807,1148.2408,12262.756,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-823.80225,2026.6761,11885.539,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-797.19604,2100.9155,11798.514,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-765.3321,2213.9766,11459.4795,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-611.34674,1190.8684,11402.927,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-592.00903,1278.8285,11062.496,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-564.7349,1759.3286,11420.649,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-562.3764,2136.3806,11063.451,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-555.7284,1751.7279,13052.897,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-554.0169,1751.8073,12339.399,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-553.2853,1741.1575,12248.214,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-551.2627,1764.0642,11029.542,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-543.85864,1750.2921,9026.811,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-543.7263,1753.5591,11970.145,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-542.17596,1750.7062,8126.5054,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-539.3456,1751.5476,12520.176,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-496.55905,1488.1625,12262.756,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-490.4526,1727.1488,11475.754,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-480.4999,1404.423,11039.439,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-480.18048,1875.9415,11031.899,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-365.02554,1580.2129,11039.69,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-351.95816,2277.134,12279.006,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-319.26816,1543.0559,11059.007,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-279.1553,2014.1588,9965.627,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-272.7972,1475.671,11895.368,
InstancedStaticMeshComponent,BPP_Gatehouse_Hub_02a_C'Chateau_p_WP:PersistentLevel.BPP_Gatehouse_Hub_02a_C_UAID_D843AE641AE3B74402_1bbf401e8bea8925_1918152496',,-230.40396,2062.811,11404.345,
