RootType,OuterType,OuterName,X,Y,Z,DisplayName,SpawnChance,ChanceType,Health,Keyed,LootSource,AISpawner,Visible,HarvestableBy,NodeTag
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_11c294cc824aeaf3_1,24860.234,16978.234,-2139.1355,Glade Camp Massacre,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_143482fa8e70245c_0,-9898.707,-6400.2085,-507.82965,Chevalier's Remise,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_38dd6e6fa5f4d608_0,42760.137,34592.89,-1098.9216,Scout Camp,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_3ce330e594250b81_1,-6516.4214,35095.21,-770.4975,Barrel Cart,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_4b003ba387a57fa1_1,18813.998,-3896.501,-215.50027,Chapel Of Weeping Virgins,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_5a6840b2e853ea4f_0,-30156.48,47475.156,1037.4847,Gerard's Hide,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_684b6515b932cad9_1,41850.14,-22162.19,-4522.968,Chapel of the Buried Virgins,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_7d3a26b01e2473f7_1,25669.688,45908.168,-1773.8191,Well of Stars ,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_UAID_04D9F5F93AD5386D02_5004bde0be3a2dd6_1987677971,-27958.312,12941.55,-611.44305,Sarlat Tithe Barn,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_UAID_04D9F5F93AD57D4902_1004ba2f6eb96028_1914235836,-5482.0454,13602.341,-1379.3043,Garnier's Farm,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_UAID_04D9F5F93AD5B56B02_c8da113c42f9b57b_1654989029,-10857.421,40863.19,328.14957,Gunline Fort,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_UAID_D843AE1A93E580B102_0b2b7ca065924e7c_2088398128,48807.223,5428.1704,-603.7897,Overgrown Cabin,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_UAID_D843AE1A93E581B102_b672bb6c668a37ab_1261993844,-17562.256,40589.87,882.71967,Garnier's Windmill,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_UAID_D843AE1A93E5B5E502_e9710943a2517302_1711092584,14259.897,21164.408,1189.4679,Chevalier Family Home,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_UAID_D843AE1A93E5DB7E02_fee95617eaee0162_1844126544,42346.074,-13863.783,-6887.054,The Undercroft,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_a1088320ad7534bd_0,16299.526,43829.88,-390.20932,Makeshift Camp,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_c8c51091b4d6e104_1,43834.17,28774.738,-2166.5417,Farrier's Crossing,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_d0b10c543768709f_0,9285.415,32119.451,-2433.9944,River Watch,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_daf5f81d78f399cc_0,39871.43,16043.935,-1418.3889,Dupont Farrier,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_e9710943a2517302_0,11853.497,20253.162,-1624.4658,Sarlat Village,,,,,,,,,
BrushComponent,DiscoverableLocationVolume,DiscoverableLocationVolume_eb580424d23ccad1_0,47469.312,-6835.603,687.77313,Mr Sweet's Woodland Residence,,,,,,,,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,37645.086,-11599.223,-5589.4414,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,37325.562,-17543.318,-6321.7383,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,37338.19,-20500.25,-8667.751,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,37645.086,-11599.223,-5589.4414,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,38909.207,-21192.82,-7063.098,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,39671.844,-16743.78,-6866.853,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,43113.31,-18671.129,-10520.465,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,43487.74,-23428.21,-6569.136,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_01b,45653.426,-15514.503,-7126.302,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_02a,43113.31,-18671.129,-10520.465,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_02a,48453.926,-17124.56,-8222.252,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_03a,28616.625,-1926.4612,-911.42114,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_03a,37645.086,-11599.223,-5589.4414,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_03b,33855.773,-14854.391,-6182.672,,,,,,,,True,,
FastGeoContainer,StaticMesh,SM_StairIntegrated_03b,43113.31,-18671.129,-10520.465,,,,,,,,True,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1185959978,-14340.0,55225.0,2955.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1225440979,-34585.0,22380.0,-90.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1230651980,-13985.0,6390.0,-1395.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1231924981,-46008.395,-14581.743,-460.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1232831982,-26440.633,-28594.6,1735.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1233790983,16050.0,53005.0,-735.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1234767984,37048.12,-897.16327,2375.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1363774985,51950.0,66730.0,2000.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1424012986,-25625.0,22740.0,-420.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1435341987,-19745.0,29255.0,-145.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1436311988,-18070.0,16960.0,-530.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1437198989,-24895.0,11625.0,-1145.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1437989990,-20170.0,-6905.0,-1280.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1438856991,23365.0,37580.0,-1545.0,,,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42A1BF02_3517a8fe10f6fa8e_1439635992,25330.0,32780.0,-1205.0,,,,,,,,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5148B02_d2b622e41626617e_1813239900,39346.168,-18216.932,-4795.5874,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5218102_a517a7b494159cca_1419496643,36210.58,-11648.541,-3107.95,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57E8902_d2b622e41626617e_1415214743,41061.18,-16783.096,-4795.5874,,,,,,,DA_AISpawner_Peasants,,,
