RootType,OuterType,OuterName,X,Y,Z,DisplayName,SpawnChance,ChanceType,Health,Keyed,LootSource,AISpawner,Visible
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-69179.84,5625.047,-979.2397,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-65666.49,-13616.552,777.8049,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-59223.723,-15221.666,2038.506,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-47647.152,-18158.225,3185.7952,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-36534.477,-13153.144,765.6604,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-27439.387,-42905.105,1549.3907,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-25747.42,43705.414,391.1004,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-19736.592,-48496.92,1398.5198,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-11587.638,-9659.182,-1442.5765,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-6182.2417,-11636.196,-2655.077,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,-1331.5986,-12694.544,-1257.3333,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,2482.3953,20934.627,-1878.3401,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,12614.427,2254.9546,-1152.024,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,13642.347,28132.191,-1354.4147,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,21658.615,-14064.054,-191.1247,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_01a,23287.072,6851.556,-13219.875,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_03a,-58508.793,-18151.229,5550.8955,,,,,,,,True
