Type,ObjectName,StaticMeshName,X,Y,Z,SpawnChance
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1113851188',,5920.0,-4275.0,40.0,
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1155962189',,-12835.0,32440.0,-1610.0,
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1187051190',,11475.0,31890.0,-590.0,
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1206363191',,26970.0,48530.0,-3580.0,
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1223204192',,39255.0,38155.0,-2615.0,
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1292868193',,56659.574,6657.2144,-560.0,
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1312332194',,-2805.0,16590.0,125.0,
SceneComponent,AGV_Biomme_C'map03_p_WP:PersistentLevel.AGV_Biomme_C_UAID_107C614ADD425EB302_f557d925b58a3824_1327169195',,48955.0,-19090.0,-4635.0,
SceneComponent,AISpawner'map03_p_WP:PersistentLevel.AISpawner_UAID_04D9F5F93AD5248002_ffbd4ee98032c22b_1482003249',AISpawnerConfigSet'DA_AISpawner_Peasants',29795.379,17579.773,-1060.1603,
SceneComponent,AISpawner'map03_p_WP:PersistentLevel.AISpawner_UAID_04D9F5F93AD5248002_ffbd4ee98032c22b_1491078250',AISpawnerConfigSet'DA_AISpawner_Peasants',30371.826,17530.19,-1044.8208,
SceneComponent,AISpawner'map03_p_WP:PersistentLevel.AISpawner_UAID_04D9F5F93AD5545C02_e866662526208594_1352701803',AISpawnerConfigSet'DA_AISpawner_Infirmary',39502.82,49997.492,-3608.0378,
SceneComponent,AISpawner'map03_p_WP:PersistentLevel.AISpawner_UAID_04D9F5F93AD5545C02_e866662526208594_1352708804',AISpawnerConfigSet'DA_AISpawner_Infirmary',39822.582,49340.953,-3608.0378,
